ticker,buy_date,sell_date,cost_basis,net_proceeds,pnl,return_pct
XLU,2007-12-10,2007-12-17,7369.8848,7127.3456,-242.5392,-0.032909
XLE,2007-12-10,2007-12-17,7369.8848,7330.1991,-39.6857,-0.005385
XLB,2007-12-10,2007-12-17,7369.8848,7066.0807,-303.8041,-0.041222
XLB,2007-12-24,2007-12-31,10761.8127,10682.4089,-79.4038,-0.007378
XLE,2007-12-24,2007-12-31,10761.8127,10860.9703,99.1576,0.009214
XLB,2008-05-19,2008-05-27,10771.6896,10275.1601,-496.5295,-0.046096
XLE,2008-05-19,2008-05-27,10771.6896,10386.5383,-385.1513,-0.035756
XLK,2009-08-03,2009-09-21,20661.6984,21521.4348,859.7364,0.04161
XLB,2009-09-21,2009-10-05,7173.8116,6758.7089,-415.1027,-0.057864
XLY,2009-09-21,2009-10-12,7173.8116,7222.1732,48.3616,0.006741
XLB,2009-10-12,2009-10-19,7222.1732,7331.4819,109.3087,0.015135
XLF,2009-10-05,2009-11-02,6758.7089,6599.624,-159.0849,-0.023538
XLI,2009-09-21,2009-11-02,7173.8116,6766.052,-407.7596,-0.05684
XLP,2009-11-02,2009-11-16,13365.6761,13829.7806,464.1045,0.034724
XLE,2009-10-19,2009-11-23,7331.4819,7143.88,-187.6019,-0.025589
XLY,2009-11-16,2009-11-30,6914.8903,6779.2787,-135.6116,-0.019612
XLE,2009-11-30,2009-12-07,6779.2787,6619.0998,-160.1789,-0.023628
XLP,2009-11-23,2009-12-07,7143.88,7095.6316,-48.2484,-0.006754
XLI,2009-11-16,2009-12-14,6914.8903,7094.9638,180.0735,0.026041
XLU,2009-12-14,2009-12-21,7094.9638,7036.4573,-58.5065,-0.008246
XLV,2009-12-21,2010-01-04,7036.4573,7146.7437,110.2864,0.015674
XLK,2009-12-07,2010-01-11,6857.3657,7145.3959,288.0302,0.042003
XLY,2009-12-07,2010-01-11,6857.3657,7181.7592,324.3935,0.047306
XLB,2010-01-04,2010-01-19,7146.7437,7190.8468,44.1031,0.006171
XLI,2010-01-11,2010-01-25,7163.5776,6842.0713,-321.5063,-0.044881
XLK,2010-01-19,2010-01-25,7190.8468,6906.9973,-283.8495,-0.039474
XLV,2010-01-11,2010-02-01,7163.5776,7014.5447,-149.0329,-0.020804
XLV,2010-02-22,2010-03-01,6921.2044,6858.891,-62.3134,-0.009003
XLP,2010-03-01,2010-03-08,6858.891,6961.6868,102.7958,0.014987
XLF,2010-03-08,2010-05-10,6961.6868,7246.2744,284.5876,0.040879
XLI,2010-02-22,2010-05-10,6921.2044,7594.7913,673.5869,0.097322
XLY,2010-02-22,2010-05-10,6921.2044,7712.2643,791.0599,0.114295
XLI,2010-10-04,2010-11-15,22553.33,23460.5626,907.2326,0.040226
XLY,2010-11-15,2010-12-06,23460.5626,24231.3723,770.8097,0.032856
XLY,2011-01-03,2011-01-10,8077.1241,8023.2117,-53.9124,-0.006675
XLK,2011-01-10,2011-01-18,8023.2117,8097.8533,74.6416,0.009303
XLB,2011-01-03,2011-01-24,8077.1241,7811.8838,-265.2403,-0.032838
XLY,2011-01-24,2011-01-31,7811.8838,7681.4292,-130.4546,-0.0167
XLB,2011-01-31,2011-02-14,7681.4292,8049.0759,367.6467,0.047862
XLF,2011-02-14,2011-03-07,8049.0759,7793.1955,-255.8804,-0.03179
XLB,2011-03-07,2011-03-14,7793.1955,7465.4247,-327.7708,-0.042059
XLI,2011-01-18,2011-03-21,8097.8533,8273.3864,175.5331,0.021676
XLY,2011-03-14,2011-03-21,7465.4247,7354.513,-110.9117,-0.014857
XLY,2011-03-28,2011-04-11,7813.9497,7833.3316,19.3819,0.00248
XLB,2011-04-11,2011-04-18,7833.3316,7546.5143,-286.8173,-0.036615
XLI,2011-03-28,2011-04-25,7813.9497,7887.1994,73.2497,0.009374
XLB,2011-04-25,2011-05-02,7887.1994,8006.699,119.4996,0.015151
XLE,2011-01-03,2011-05-09,8077.1241,8826.4649,749.3408,0.092773
XLY,2011-04-18,2011-05-16,7546.5143,7837.0396,290.5253,0.038498
XLU,2011-05-16,2011-05-31,7837.0396,7803.0638,-33.9758,-0.004335
XLY,2011-05-31,2011-06-06,7803.0638,7463.793,-339.2708,-0.043479
XLP,2011-05-09,2011-06-13,8826.4649,8670.1547,-156.3102,-0.017709
XLV,2011-05-02,2011-06-13,8006.699,7840.2106,-166.4884,-0.020794
XLP,2011-07-05,2011-07-11,7991.3861,8004.939,13.5529,0.001696
XLK,2011-07-11,2011-07-18,8004.939,7870.3467,-134.5923,-0.016814
XLV,2011-07-05,2011-07-18,7991.3861,7776.4466,-214.9395,-0.026896
XLY,2011-07-05,2011-08-08,7991.3861,6900.8568,-1090.5293,-0.136463
XLE,2011-07-18,2011-08-08,15646.7933,13332.994,-2313.7993,-0.147877
XLK,2012-03-05,2012-04-23,20233.8508,20261.4503,27.5995,0.001364
XLV,2012-04-23,2012-04-30,6753.8168,6856.2153,102.3985,0.015162
XLF,2012-04-23,2012-05-07,6753.8168,6762.3847,8.5679,0.001269
XLK,2012-04-30,2012-05-07,6856.2153,6592.6752,-263.5401,-0.038438
XLY,2012-04-23,2012-05-14,6753.8168,6688.5298,-65.287,-0.009667
XLV,2012-05-07,2012-05-21,13355.0599,13111.8036,-243.2563,-0.018215
XLU,2012-06-11,2012-06-25,19800.3333,19407.8974,-392.4359,-0.01982
XLV,2012-06-25,2012-08-20,19407.8974,20222.5493,814.6519,0.041975
XLP,2012-08-20,2012-08-27,6740.8498,6693.776,-47.0738,-0.006983
XLY,2012-08-20,2012-09-10,6740.8498,6942.8479,201.9981,0.029966
XLV,2012-08-27,2012-09-10,6693.776,6817.6614,123.8854,0.018508
XLE,2012-09-10,2012-09-17,6880.2547,7142.886,262.6313,0.038172
XLB,2012-09-17,2012-09-24,7142.886,6983.6041,-159.2819,-0.022299
XLK,2012-08-20,2012-10-08,6740.8498,6745.6158,4.766,0.000707
XLY,2012-09-24,2012-10-31,6983.6041,6819.9818,-163.6223,-0.023429
XLF,2012-09-10,2012-11-12,6880.2547,6855.272,-24.9827,-0.003631
XLY,2012-11-05,2012-11-12,6819.9818,6674.9697,-145.0121,-0.021263
XLV,2012-10-08,2012-11-12,6745.6158,6460.0604,-285.5554,-0.042332
XLY,2012-11-26,2012-12-24,19990.3022,20160.8572,170.555,0.008532
XLF,2012-12-31,2013-04-01,20160.8572,22738.6733,2577.8161,0.127862
XLE,2013-04-01,2013-04-08,7579.5578,7388.4547,-191.1031,-0.025213
XLF,2013-04-08,2013-04-15,7388.4547,7550.7703,162.3156,0.021969
XLP,2013-04-15,2013-05-20,7550.7703,7776.227,225.4567,0.029859
XLF,2013-05-20,2013-06-24,7776.227,7382.8495,-393.3775,-0.050587
XLY,2013-04-01,2013-06-24,7579.5578,7806.3959,226.8381,0.029928
XLV,2013-04-01,2013-06-24,7579.5578,7753.0203,173.4625,0.022886
XLY,2013-07-01,2013-07-22,7647.4219,8021.4702,374.0483,0.048912
XLE,2013-07-22,2013-07-29,8021.4702,7927.9144,-93.5558,-0.011663
XLI,2013-07-01,2013-08-12,7647.4219,8031.9313,384.5094,0.05028
XLF,2013-07-01,2013-08-19,7647.4219,7785.6852,138.2633,0.01808
XLY,2013-07-29,2013-08-19,7927.9144,7735.6191,-192.2953,-0.024255
XLI,2013-08-19,2013-09-03,15521.3043,15366.4683,-154.836,-0.009976
XLV,2013-08-12,2013-09-03,8031.9313,7840.5373,-191.394,-0.023829
XLV,2013-09-09,2013-09-23,11603.5028,11912.1569,308.6541,0.0266
XLB,2013-09-23,2013-09-30,5956.0784,5841.4961,-114.5823,-0.019238
XLY,2013-09-23,2013-10-07,5956.0784,5921.426,-34.6524,-0.005818
XLV,2013-09-30,2013-10-14,5841.4961,5908.3786,66.8825,0.01145
XLE,2013-10-14,2013-10-28,5908.3786,6101.6166,193.238,0.032706
XLY,2013-10-28,2013-11-11,6101.6166,6099.9921,-1.6245,-0.000266
XLK,2013-11-11,2013-11-18,6099.9921,6174.1412,74.1491,0.012156
XLB,2013-10-07,2013-11-25,5921.426,6268.9555,347.5295,0.05869
XLV,2013-11-25,2013-12-23,6268.9555,6248.5593,-20.3962,-0.003254
XLY,2013-11-18,2013-12-30,6174.1412,6320.851,146.7098,0.023762
XLK,2013-12-23,2014-01-02,6248.5593,6298.2992,49.7399,0.00796
XLB,2013-12-30,2014-01-13,6320.851,6232.8225,-88.0285,-0.013927
XLY,2014-01-02,2014-01-21,6298.2992,6158.7037,-139.5955,-0.022164
XLB,2014-01-21,2014-01-27,6158.7037,5821.6795,-337.0242,-0.054723
XLI,2013-09-09,2014-01-27,11603.5028,13006.1772,1402.6744,0.120884
XLK,2014-02-18,2014-03-10,9413.9284,9473.8868,59.9584,0.006369
XLI,2014-03-10,2014-03-24,9473.8868,9330.7146,-143.1722,-0.015112
XLV,2014-01-13,2014-03-31,6232.8225,6392.8871,160.0646,0.025681
XLF,2014-03-31,2014-04-07,6392.8871,6347.6564,-45.2307,-0.007075
XLK,2014-03-24,2014-04-07,9330.7146,9149.0737,-181.6409,-0.019467
XLB,2014-02-18,2014-04-14,9413.9284,9508.3984,94.47,0.010035
XLI,2014-04-07,2014-04-14,7748.365,7567.3931,-180.9719,-0.023356
XLV,2014-04-07,2014-04-14,7748.365,7521.6633,-226.7017,-0.029258
XLE,2014-04-21,2014-04-28,8199.1516,8247.1989,48.0473,0.00586
XLV,2014-05-19,2014-05-27,8247.1989,8404.3494,157.1505,0.019055
XLI,2014-04-21,2014-06-02,8199.1516,8381.168,182.0164,0.022199
XLB,2014-04-21,2014-06-09,8199.1516,8535.711,336.5594,0.041048
XLI,2014-06-09,2014-06-30,8535.711,8406.1032,-129.6078,-0.015184
XLB,2014-06-30,2014-07-07,8406.1032,8496.8871,90.7839,0.0108
XLE,2014-06-02,2014-08-04,8381.168,8446.7425,65.5745,0.007824
XLV,2014-07-07,2014-08-11,8496.8871,8308.9132,-187.9739,-0.022123
XLB,2014-08-18,2014-09-15,8377.8278,8341.6807,-36.1471,-0.004315
XLK,2014-05-27,2014-10-06,8404.3494,8997.3455,592.9961,0.070558
XLV,2014-08-18,2014-10-13,8377.8278,8496.0291,118.2013,0.014109
XLV,2014-10-27,2015-02-02,25835.0553,27559.6593,1724.604,0.066754
XLU,2015-02-02,2015-02-09,27559.6593,26461.3147,-1098.3446,-0.039853
XLV,2015-02-09,2015-05-04,26461.3147,27839.5192,1378.2045,0.052084
XLV,2015-05-11,2015-07-27,27839.5192,28266.0106,426.4914,0.01532
XLY,2015-07-27,2015-08-24,28266.0106,25177.5881,-3088.4225,-0.109263
XLB,2016-05-31,2016-06-27,25177.5881,24342.192,-835.3961,-0.03318
XLU,2016-06-27,2016-08-08,24342.192,24478.29,136.098,0.005591
XLB,2016-08-08,2016-09-12,24478.29,23609.9177,-868.3723,-0.035475
XLE,2016-09-12,2016-09-19,23609.9177,23303.5881,-306.3296,-0.012975
XLU,2016-09-26,2016-10-03,23303.5881,22385.7812,-917.8069,-0.039385
XLK,2016-10-03,2016-10-10,11192.8906,11228.0393,35.1487,0.00314
XLE,2016-10-03,2016-10-31,11192.8906,10922.4442,-270.4464,-0.024162
XLF,2016-10-31,2016-11-07,22150.4835,22059.2316,-91.2519,-0.00412
XLE,2016-11-14,2017-01-17,7353.0772,7957.4166,604.3394,0.082189
XLB,2017-01-17,2017-02-13,7957.4166,8189.9735,232.5569,0.029225
XLI,2016-11-14,2017-02-21,7353.0772,7928.7915,575.7143,0.078296
XLB,2017-02-21,2017-03-06,7928.7915,7947.4555,18.664,0.002354
XLF,2016-11-14,2017-03-27,7353.0772,7793.8194,440.7422,0.05994
XLI,2017-03-06,2017-03-27,7947.4555,7721.6237,-225.8318,-0.028416
XLK,2017-02-13,2017-04-17,8189.9735,8388.6477,198.6742,0.024258
XLI,2017-04-24,2017-07-03,11952.0454,12376.131,424.0856,0.035482
XLK,2017-04-24,2017-07-03,11952.0454,12250.8389,298.7935,0.024999
XLF,2017-07-03,2017-08-21,24626.9699,24382.3015,-244.6684,-0.009935
XLK,2017-08-21,2017-10-23,24382.3015,26185.7219,1803.4204,0.073964
XLI,2017-10-23,2017-10-30,8728.574,8627.6063,-100.9677,-0.011567
XLF,2017-10-23,2017-11-13,8728.574,8477.1775,-251.3965,-0.028802
XLB,2017-10-23,2017-11-13,8728.574,8563.8802,-164.6938,-0.018868
XLB,2018-01-08,2018-01-16,8520.5288,8598.0226,77.4938,0.009095
XLK,2017-10-30,2018-01-16,8627.6063,9394.4618,766.8555,0.088884
XLI,2018-01-08,2018-01-16,8520.5288,8814.1581,293.6293,0.034461
XLF,2018-01-16,2018-01-29,8935.5475,9137.9992,202.4517,0.022657
XLE,2018-01-16,2018-02-05,8935.5475,8220.5355,-715.012,-0.080019
XLF,2018-02-05,2018-02-12,8220.5355,7988.8654,-231.6701,-0.028182
XLK,2018-01-29,2018-02-12,9137.9992,8493.5393,-644.4599,-0.070525
XLY,2018-01-16,2018-02-12,8935.5475,8605.9458,-329.6017,-0.036887
XLF,2018-02-20,2018-03-05,12544.1752,12223.1922,-320.983,-0.025588
XLF,2018-03-12,2018-03-19,12223.1922,11891.6046,-331.5876,-0.027128
XLK,2018-02-20,2018-03-26,12544.1752,12331.5688,-212.6064,-0.016949
XLK,2018-05-07,2018-10-08,24223.1734,26270.3435,2047.1701,0.084513
