date_entry,date_exit,asset,entry_price,exit_price,pnl_pct,pnl_dollar,hold_days,exit_reason,liquidity_constrained
2019-04-01,2020-04-01,VNQ,66.6907,52.8527,-0.207996,-5237.61,253,rebalance,False
2019-04-01,2020-04-01,XLP,46.6596,45.1988,-0.031923,-803.83,253,rebalance,False
2019-04-01,2020-04-01,XLU,23.3888,22.1253,-0.054738,-1378.17,253,rebalance,False
2019-04-01,2020-04-01,XLE,24.2309,11.084,-0.543016,-13672.04,253,rebalance,False
2020-04-01,2020-06-01,SHY,75.109,75.206,0.000724,57.62,41,rebalance,False
2020-06-01,2020-08-03,VNQ,61.4747,65.3417,0.062281,1239.24,44,rebalance,False
2020-08-03,2021-02-01,XLU,25.4834,26.6702,0.045844,968.33,125,rebalance,False
2021-02-01,2021-04-01,VNQ,70.244,76.325,0.085945,1897.46,42,rebalance,False
2020-06-01,2021-08-02,XLE,15.2543,20.7479,0.359114,7143.79,295,rebalance,False
2020-06-01,2022-06-01,XLP,50.5469,66.9656,0.324051,6447.82,505,rebalance,False
2020-06-01,2022-06-01,XLV,92.963,124.2144,0.335441,6674.78,505,rebalance,False
2021-04-01,2022-06-01,XLU,27.4664,33.0139,0.201184,4820.09,294,rebalance,False
2021-08-02,2022-06-01,VNQ,88.9635,84.5002,-0.050713,-1370.35,210,rebalance,False
2022-06-01,2022-12-01,SHY,72.9073,71.804,-0.015697,-1684.09,127,rebalance,False
2022-12-01,2024-10-01,XLU,32.3942,38.6322,0.191809,5060.55,459,rebalance,False
2024-10-01,2024-12-02,XLE,41.4776,45.5247,0.096898,3044.95,43,rebalance,False
2022-12-01,2024-12-30,XLP,70.1657,75.8592,0.081144,2141.02,521,window_end,False
2022-12-01,2024-12-30,VNQ,76.7237,84.0688,0.095734,2525.97,521,window_end,False
2022-12-01,2024-12-30,XLV,131.9456,134.3157,0.017963,473.97,521,window_end,False
2024-12-02,2024-12-30,XLU,39.6998,36.5723,-0.078779,-2713.71,19,window_end,False
